trade_date ,signal_date ,sub_strategy     ,rq_code     ,ts_code   ,score              ,rank_in_topk ,sub_alloc ,sub_target_weight   ,target_weight_total ,action
2025-12-22 ,2025-12-19  ,value_csi300     ,601658.XSHG ,601658.SH ,1.0                ,           1 ,      0.5 ,0.125               ,0.125               ,BUY
2025-12-22 ,2025-12-19  ,value_csi300     ,601838.XSHG ,601838.SH ,0.9966666666666668 ,           2 ,      0.5 ,0.125               ,0.125               ,BUY
2025-12-22 ,2025-12-19  ,value_csi300     ,600919.XSHG ,600919.SH ,0.9933333333333332 ,           3 ,      0.5 ,0.125               ,0.125               ,BUY
2025-12-22 ,2025-12-19  ,value_csi300     ,600016.XSHG ,600016.SH ,0.9866666666666668 ,           5 ,      0.5 ,0.125               ,0.125               ,BUY
2025-12-22 ,2025-12-19  ,small_cap_csi101 ,002553.XSHE ,002553.SZ ,0.9979101358411704 ,           3 ,      0.5 ,0.08333333333333333 ,0.08333333333333333 ,BUY
2025-12-22 ,2025-12-19  ,small_cap_csi101 ,002052.XSHE ,002052.SZ ,0.9968652037617556 ,           4 ,      0.5 ,0.08333333333333333 ,0.08333333333333333 ,BUY
2025-12-22 ,2025-12-19  ,small_cap_csi101 ,002546.XSHE ,002546.SZ ,0.994775339602926  ,           6 ,      0.5 ,0.08333333333333333 ,0.08333333333333333 ,BUY
2025-12-22 ,2025-12-19  ,small_cap_csi101 ,002161.XSHE ,002161.SZ ,0.992685475444096  ,           8 ,      0.5 ,0.08333333333333333 ,0.08333333333333333 ,BUY
2025-12-22 ,2025-12-19  ,small_cap_csi101 ,002564.XSHE ,002564.SZ ,0.9905956112852664 ,          10 ,      0.5 ,0.08333333333333333 ,0.08333333333333333 ,BUY
2025-12-22 ,2025-12-19  ,small_cap_csi101 ,002320.XSHE ,002320.SZ ,0.9885057471264368 ,          12 ,      0.5 ,0.08333333333333333 ,0.08333333333333333 ,BUY
